Fecha,Hora,Altura de nieve,Direccion viento,Evaporacion,Humedad Relativa,Precipitacion,Presion Atmosferica,Punto de rocio,Radiacion solar,Rafagas,Sigma,Temperatura,UV,UVB,Velocidad del viento
19/02/2022,1,,349.2,,,,,,,,,16.17,,,2.43
19/02/2022,2,,96,,,,,,,,,15.12,,,2.13
19/02/2022,3,,65.6,,,,,,,,,13.47,,,1.37
19/02/2022,4,,76.8,,,,,,,,,13.32,,,1.06
19/02/2022,5,,200.5,,,,,,,,,13.41,,,0.92
19/02/2022,6,,38.7,,,,,,,,,13.54,,,1.43
19/02/2022,7,,185.4,,,,,,,,,15.55,,,1.41
19/02/2022,8,,30.3,,,,,,,,,17.88,,,2
19/02/2022,9,,280.3,,,,,,,,,22.26,,,1.25
19/02/2022,10,,229.6,,,,,,,,,24.24,,,2.37
19/02/2022,11,,229,,,,,,,,,25.44,,,3.71
19/02/2022,12,,270.5,,,,,,,,,26.66,,,3.84
19/02/2022,13,,295.5,,,,,,,,,27.72,,,4.46
19/02/2022,14,,306.5,,,,,,,,,28.47,,,4.86
19/02/2022,15,,278.5,,,,,,,,,29.03,,,5.74
19/02/2022,16,,223.5,,,,,,,,,27.16,,,8.18
19/02/2022,17,,226.4,,,,,,,,,26.23,,,7.15
19/02/2022,18,,222.5,,,,,,,,,23.72,,,7.96
19/02/2022,19,,217.7,,,,,,,,,19.5,,,6.44
19/02/2022,20,,212,,,,,,,,,17.83,,,3.96
19/02/2022,21,,186,,,,,,,,,16.46,,,2.69
19/02/2022,22,,163.3,,,,,,,,,16,,,0.94
19/02/2022,23,,56.4,,,,,,,,,15.68,,,0.82
20/02/2022,0,,42.9,,,,,,,,,15.54,,,2.41
20/02/2022,1,,25.7,,,,,,,,,15.7,,,3.08
20/02/2022,2,,41,,,,,,,,,14.72,,,3.64
20/02/2022,3,,59.4,,,,,,,,,14.13,,,2.07
20/02/2022,4,,87.5,,,,,,,,,13.08,,,0.89
20/02/2022,5,,335.1,,,,,,,,,12.43,,,0.62
20/02/2022,6,,28.8,,,,,,,,,12.56,,,1.07
20/02/2022,7,,58.8,,,,,,,,,14.7,,,1.2
20/02/2022,8,,22.6,,,,,,,,,18.02,,,2.56
20/02/2022,9,,8.3,,,,,,,,,20.07,,,3.64
20/02/2022,10,,351.7,,,,,,,,,21.82,,,4.16
20/02/2022,11,,338.3,,,,,,,,,23.37,,,3.91
20/02/2022,12,,306.9,,,,,,,,,25.12,,,3.65
20/02/2022,13,,289.5,,,,,,,,,26.22,,,3.63
20/02/2022,14,,275.6,,,,,,,,,27.69,,,3.21
20/02/2022,15,,252.7,,,,,,,,,28.86,,,3.96
20/02/2022,16,,231.7,,,,,,,,,28.77,,,5.57
20/02/2022,17,,228.1,,,,,,,,,27.1,,,7.63
20/02/2022,18,,219.5,,,,,,,,,24.91,,,8.41
20/02/2022,19,,220.2,,,,,,,,,22.14,,,6.44
20/02/2022,20,,226,,,,,,,,,20.19,,,4.47
20/02/2022,21,,219,,,,,,,,,18.61,,,3.24
20/02/2022,22,,198.5,,,,,,,,,17.19,,,2.47
20/02/2022,23,,191.6,,,,,,,,,16.03,,,1.43
21/02/2022,0,,61.4,,,,,,,,,15.45,,,1.52
21/02/2022,1,,32.7,,,,,,,,,14.55,,,1.32
21/02/2022,2,,15,,,,,,,,,14.38,,,1.24
21/02/2022,3,,34.9,,,,,,,,,14.45,,,2.4
21/02/2022,4,,66.8,,,,,,,,,13.95,,,1.89
21/02/2022,5,,271.1,,,,,,,,,12.34,,,0.82
21/02/2022,6,,44.4,,,,,,,,,13.12,,,1.33
21/02/2022,7,,31.6,,,,,,,,,15.39,,,2.01
21/02/2022,8,,32.1,,,,,,,,,19.68,,,1.35
21/02/2022,9,,340.7,,,,,,,,,22.21,,,1.92
21/02/2022,10,,305.2,,,,,,,,,24.67,,,1.96
21/02/2022,11,,302.7,,,,,,,,,25.87,,,2.29
21/02/2022,12,,285.4,,,,,,,,,26.96,,,3.4
21/02/2022,13,,277,,,,,,,,,27.9,,,3.84
21/02/2022,14,,295.9,,,,,,,,,29.3,,,3.22
21/02/2022,15,,291.1,,,,,,,,,29.94,,,4.09
21/02/2022,16,,259.7,,,,,,,,,30.1,,,5.5
21/02/2022,17,,227.3,,,,,,,,,27.77,,,8.03
21/02/2022,18,,216.8,,,,,,,,,25.12,,,8.78
21/02/2022,19,,217.6,,,,,,,,,21.9,,,6.78
21/02/2022,20,,223.5,,,,,,,,,20.07,,,4.29
21/02/2022,21,,224.9,,,,,,,,,19.06,,,2.71
21/02/2022,22,,204.2,,,,,,,,,17.91,,,2.41
21/02/2022,23,,261.9,,,,,,,,,17.15,,,1.22
22/02/2022,0,,24.3,,,,,,,,,16.94,,,1.44
22/02/2022,1,,32,,,,,,,,,15.8,,,1.28
22/02/2022,2,,144.8,,,,,,,,,14.9,,,1.49
22/02/2022,3,,172.7,,,,,,,,,14.49,,,2.06
22/02/2022,4,,204.5,,,,,,,,,13.91,,,1.48
22/02/2022,5,,316.8,,,,,,,,,12.7,,,1.23
22/02/2022,6,,32.9,,,,,,,,,12.35,,,1.31
22/02/2022,7,,45.9,,,,,,,,,14.09,,,1.5
22/02/2022,8,,42.9,,,,,,,,,17.94,,,1.32
22/02/2022,9,,280.4,,,,,,,,,20.71,,,1.73
22/02/2022,10,,275.3,,,,,,,,,22.36,,,2.72
22/02/2022,11,,266.9,,,,,,,,,24.3,,,2.53
22/02/2022,12,,247.7,,,,,,,,,25.93,,,3.55
22/02/2022,13,,220.8,,,,,,,,,27.87,,,4.54
22/02/2022,14,,222.4,,,,,,,,,28.14,,,6.49
22/02/2022,15,,222.5,,,,,,,,,28.1,,,6.28
22/02/2022,16,,226.1,,,,,,,,,26.93,,,7.5
22/02/2022,17,,219.6,,,,,,,,,25.04,,,8.03
22/02/2022,18,,230.2,,,,,,,,,23.51,,,6.32
22/02/2022,19,,217.2,,,,,,,,,20.29,,,5.86
22/02/2022,20,,204.9,,,,,,,,,16.88,,,4.14
22/02/2022,21,,242.8,,,,,,,,,15.7,,,1.89
22/02/2022,22,,58.6,,,,,,,,,15.5,,,1.8
22/02/2022,23,,344.6,,,,,,,,,14.69,,,1.61
23/02/2022,0,,330.2,,,,,,,,,14.24,,,2.56
23/02/2022,1,,19.2,,,,,,,,,13.62,,,1.99
23/02/2022,2,,342.1,,,,,,,,,12.7,,,3.02
23/02/2022,3,,21,,,,,,,,,11.9,,,1.36
23/02/2022,4,,39.2,,,,,,,,,10.95,,,1.73
23/02/2022,5,,48.8,,,,,,,,,10.14,,,2.02
23/02/2022,6,,51,,,,,,,,,10.84,,,3.39
23/02/2022,7,,57.9,,,,,,,,,12.39,,,2.04
23/02/2022,8,,23.7,,,,,,,,,14.87,,,3.94
23/02/2022,9,,7.1,,,,,,,,,16.73,,,5.17
23/02/2022,10,,343.8,,,,,,,,,18.55,,,4.54
23/02/2022,11,,341.7,,,,,,,,,20.56,,,3.65
23/02/2022,12,,314.5,,,,,,,,,22.58,,,3.25
23/02/2022,13,,260.7,,,,,,,,,24.22,,,2.97
23/02/2022,14,,288.4,,,,,,,,,25.45,,,3.63
23/02/2022,15,,247.7,,,,,,,,,27.14,,,3.76
23/02/2022,16,,232,,,,,,,,,26.82,,,6.38
23/02/2022,17,,223.8,,,,,,,,,24.81,,,6.79
23/02/2022,18,,215.2,,,,,,,,,22.55,,,7.51
23/02/2022,19,,218.9,,,,,,,,,19.46,,,6.32
23/02/2022,20,,214.9,,,,,,,,,17.7,,,4.08
23/02/2022,21,,220,,,,,,,,,16.66,,,2.71
23/02/2022,22,,220.5,,,,,,,,,15.72,,,1.34
23/02/2022,23,,87.8,,,,,,,,,15.1,,,1.93
24/02/2022,0,,15.8,,,,,,,,,15.33,,,3.15
24/02/2022,1,,41.3,,,,,,,,,14.66,,,3.11
24/02/2022,2,,60.2,,,,,,,,,13.71,,,2.79
24/02/2022,3,,69.7,,,,,,,,,12.59,,,2.16
24/02/2022,4,,46.3,,,,,,,,,12.29,,,1.58
24/02/2022,5,,33.3,,,,,,,,,12.24,,,1.39
24/02/2022,6,,57.9,,,,,,,,,12.48,,,1.42
24/02/2022,7,,82.1,,,,,,,,,14.01,,,1.08
24/02/2022,8,,13.2,,,,,,,,,15.92,,,2.1
24/02/2022,9,,169.1,,,,,,,,,20.83,,,1.37
24/02/2022,10,,209.4,,,,,,,,,22.74,,,2.15
24/02/2022,11,,228.7,,,,,,,,,23.49,,,2.97
24/02/2022,12,,239.8,,,,,,,,,25.4,,,3.28
24/02/2022,13,,228.3,,,,,,,,,27.14,,,3.72
24/02/2022,14,,224.5,,,,,,,,,27.62,,,5.77
24/02/2022,15,,216.1,,,,,,,,,27.94,,,5.79
24/02/2022,16,,218.7,,,,,,,,,27.15,,,7.23
24/02/2022,17,,227.4,,,,,,,,,25.16,,,7.74
24/02/2022,18,,222.8,,,,,,,,,23.04,,,6.89
24/02/2022,19,,220.2,,,,,,,,,20.46,,,5.95
24/02/2022,20,,209.7,,,,,,,,,18.11,,,5.72
24/02/2022,21,,230,,,,,,,,,16.54,,,2.87
24/02/2022,22,,177.7,,,,,,,,,15.63,,,1.59
24/02/2022,23,,49.4,,,,,,,,,15.02,,,2.94
25/02/2022,0,,59.2,,,,,,,,,14.63,,,2.22
25/02/2022,1,,52.7,,,,,,,,,13.79,,,1.72
25/02/2022,2,,73.8,,,,,,,,,13.28,,,0.87
25/02/2022,3,,38.8,,,,,,,,,13.22,,,1.85
25/02/2022,4,,45.2,,,,,,,,,13.48,,,1.57
25/02/2022,5,,56.4,,,,,,,,,13.61,,,2.08
25/02/2022,6,,23.2,,,,,,,,,12.99,,,1.67
25/02/2022,7,,37.2,,,,,,,,,14.27,,,1.81
25/02/2022,8,,349.7,,,,,,,,,18.82,,,1.17
25/02/2022,9,,216.3,,,,,,,,,23.28,,,1.23
25/02/2022,10,,229.7,,,,,,,,,24.71,,,2.36
25/02/2022,11,,219,,,,,,,,,25.59,,,3.45
25/02/2022,12,,203,,,,,,,,,26.93,,,3.65
25/02/2022,13,,228,,,,,,,,,28.36,,,4.27
25/02/2022,14,,227,,,,,,,,,28.6,,,5.95
25/02/2022,15,,225.2,,,,,,,,,28.59,,,5.93
25/02/2022,16,,227.3,,,,,,,,,27.35,,,7.28
25/02/2022,17,,214.5,,,,,,,,,25.7,,,7.36
25/02/2022,18,,212.7,,,,,,,,,23.25,,,7.95
25/02/2022,19,,217.2,,,,,,,,,20.51,,,6.58
25/02/2022,20,,221.8,,,,,,,,,18.71,,,4.35
25/02/2022,21,,212.3,,,,,,,,,17.17,,,3.16
25/02/2022,22,,220.6,,,,,,,,,16.28,,,1.62
25/02/2022,23,,30.6,,,,,,,,,15.52,,,1.11
26/02/2022,0,,324.6,,,,,,,,,15.52,,,1.15
26/02/2022,1,,80.8,,,,,,,,,14.53,,,1.46
26/02/2022,2,,40.5,,,,,,,,,13.24,,,1.07
26/02/2022,3,,239.1,,,,,,,,,12.89,,,1.19
26/02/2022,4,,233,,,,,,,,,13.08,,,1.29
26/02/2022,5,,13.8,,,,,,,,,13.35,,,2.09
26/02/2022,6,,53.2,,,,,,,,,13.69,,,3.57
26/02/2022,7,,46.6,,,,,,,,,13.94,,,4.32
26/02/2022,8,,14,,,,,,,,,16.97,,,4.32
26/02/2022,9,,332.2,,,,,,,,,19.83,,,3.79
26/02/2022,10,,353.1,,,,,,,,,22.89,,,2.22
26/02/2022,11,,271,,,,,,,,,25.5,,,2.69
26/02/2022,12,,296.6,,,,,,,,,26.59,,,3.33
26/02/2022,13,,251,,,,,,,,,27.86,,,3.61
26/02/2022,14,,230.6,,,,,,,,,29.71,,,5.12
26/02/2022,15,,219.4,,,,,,,,,28.79,,,7.28
26/02/2022,16,,213.4,,,,,,,,,28.04,,,6.82
26/02/2022,17,,210.4,,,,,,,,,27.02,,,6.44
26/02/2022,18,,212.6,,,,,,,,,24.85,,,6.95
26/02/2022,19,,216.5,,,,,,,,,21.35,,,6.65
26/02/2022,20,,218.3,,,,,,,,,18.9,,,5.12
26/02/2022,21,,211.2,,,,,,,,,17.56,,,2.63
26/02/2022,22,,224.8,,,,,,,,,16.99,,,1.47
26/02/2022,23,,17.1,,,,,,,,,16.33,,,1.05
27/02/2022,0,,35,,,,,,,,,16.02,,,2.42
27/02/2022,1,,5.3,,,,,,,,,16.26,,,1.72
27/02/2022,2,,253.5,,,,,,,,,14.49,,,1.52
27/02/2022,3,,43.3,,,,,,,,,13.88,,,2.16
27/02/2022,4,,37.4,,,,,,,,,12.99,,,1.93
27/02/2022,5,,34.6,,,,,,,,,12.41,,,2.08
27/02/2022,6,,41.7,,,,,,,,,12.52,,,3.38
27/02/2022,7,,59.8,,,,,,,,,13.78,,,3.14
27/02/2022,8,,43.3,,,,,,,,,16.23,,,2.03
27/02/2022,9,,340.3,,,,,,,,,20.67,,,1.24
27/02/2022,10,,323.2,,,,,,,,,22.63,,,2.32
27/02/2022,11,,299.8,,,,,,,,,24.29,,,2.74
27/02/2022,12,,296.8,,,,,,,,,25.56,,,3.17
27/02/2022,13,,296.6,,,,,,,,,26.84,,,3.28
27/02/2022,14,,310.2,,,,,,,,,27.75,,,4.61
27/02/2022,15,,228.1,,,,,,,,,28.6,,,5.63
27/02/2022,16,,222,,,,,,,,,27.34,,,6.91
27/02/2022,17,,220,,,,,,,,,26.45,,,6.46
27/02/2022,18,,215.3,,,,,,,,,24.62,,,6.05
27/02/2022,19,,214.1,,,,,,,,,21.24,,,5.14
27/02/2022,20,,219.4,,,,,,,,,18.98,,,3.28
27/02/2022,21,,210.8,,,,,,,,,18.1,,,2.03
27/02/2022,22,,115.5,,,,,,,,,17.46,,,1.57
27/02/2022,23,,301.4,,,,,,,,,16.97,,,0.77
28/02/2022,0,,14.6,,,,,,,,,17.02,,,1.14
28/02/2022,1,,37.2,,,,,,,,,17.38,,,3.24
28/02/2022,2,,32.5,,,,,,,,,16.65,,,4.52
28/02/2022,3,,44.1,,,,,,,,,14.05,,,4.18
28/02/2022,4,,53.8,,,,,,,,,13.77,,,2.81
28/02/2022,5,,51.6,,,,,,,,,13.27,,,1.3
28/02/2022,6,,33.5,,,,,,,,,12.45,,,3.13
28/02/2022,7,,39.4,,,,,,,,,13.72,,,5.02
28/02/2022,8,,28.7,,,,,,,,,17.65,,,3.77
28/02/2022,9,,0.1,,,,,,,,,20.84,,,3.68
28/02/2022,10,,340.5,,,,,,,,,22.82,,,3.49
28/02/2022,11,,334.7,,,,,,,,,24.53,,,4.13
28/02/2022,12,,313.9,,,,,,,,,25.8,,,5.13
28/02/2022,13,,302.7,,,,,,,,,26.96,,,4.78
28/02/2022,14,,310.4,,,,,,,,,27.79,,,4.81
28/02/2022,15,,219.9,,,,,,,,,27.42,,,7.26
28/02/2022,16,,224.6,,,,,,,,,27.24,,,7.15
28/02/2022,17,,221.6,,,,,,,,,26.13,,,6.45
28/02/2022,18,,212.4,,,,,,,,,23.82,,,5.67
28/02/2022,19,,221.1,,,,,,,,,21.57,,,4.32
28/02/2022,20,,215.1,,,,,,,,,18.87,,,3.65
28/02/2022,21,,195.5,,,,,,,,,17.16,,,2.11
28/02/2022,22,,314,,,,,,,,,16.64,,,1.02
28/02/2022,23,,0.5,,,,,,,,,16.32,,,2.17
